# regression: better=lower abs=500 rel=0.001 display={:.3e} ratchet=on

src/minter/Minter_v3.sol:Minter_v3
| function name                                    |    max |   display |
| notifyLiquidation      | 143995 | 1.440e+05 |
| owner                  |   2402 | 2.402e+03 |
| permit                 |  50633 | 5.063e+04 |
| proxiableUUID          |    386 | 3.860e+02 |
| registerRewardToken    |  72900 | 7.290e+04 |
| requestWithdrawal      |  25011 | 2.501e+04 |
| rewardData             |   4958 | 4.958e+03 |
| sweep                  |  47662 | 4.766e+04 |
| symbol                 |    621 | 6.210e+02 |
| totalAssetSupply       |   2467 | 2.467e+03 |
| totalSupply            |   2424 | 2.424e+03 |
| transfer               | 186518 | 1.865e+05 |
| transferFrom           | 129943 | 1.299e+05 |
| transferOwnership      |  12067 | 1.207e+04 |
| unregisterRewardToken  |  93501 | 9.350e+04 |
| withdraw               | 269921 | 2.699e+05 |

src/minter/TokenDistributor_v1.sol:TokenDistributor_v1
| function name        |    max |   display |
|----------------------|--------|-----------|
| CLAIMER_ROLE         |    282 | 2.820e+02 |
| addOrUpdateRecipient |  69490 | 6.949e+04 |
| addToken             |  88180 | 8.818e+04 |
| distribute           | 179196 | 1.792e+05 |
| distribution         |  14535 | 1.454e+04 |
| grantRoles           |  26330 | 2.633e+04 |
| hasAnyRole           |   2635 | 2.635e+03 |
| initialize           |  93389 | 9.339e+04 |
| owner                |   2345 | 2.345e+03 |
| removeRecipient      |  24820 | 2.482e+04 |
| removeToken          |  18286 | 1.829e+04 |
| setDistribution      |  76106 | 7.611e+04 |
| supportsInterface    |    865 | 8.650e+02 |
| sweep                |  41080 | 4.108e+04 |
| tokens               |   7448 | 7.448e+03 |
| transferOwnership    |  12000 | 1.200e+04 |
