# regression: suite_multiple=8 run_shift_multiple=4 noise_seconds=1.5 floor_seconds=0.05

suite CPU (milliseconds)
| name                                                                                                            |   milliseconds | CPU    |
| test/Minter_feeRange.t.sol:TestMinterIntegralDiscountNoReserve                                                  |           3750 | 3.75s  |
| test/Minter_feeRange.t.sol:TestMinterIntegralDustRounding_                                                      |          17660 | 17.66s |
| test/Minter_feeRange.t.sol:TestMinterIntegralFixedFees                                                          |           3780 | 3.78s  |
| test/Minter_feeRange.t.sol:TestMinterIntegralReverseVariableFees                                                |           4270 | 4.27s  |
| test/Minter_feeRange.t.sol:TestMinterIntegralVariableFees                                                       |           4590 | 4.59s  |
| test/Minter_fees.t.sol:TestMinterDepeg                                                                          |              1 | 0.00s  |
| test/Minter_fees.t.sol:TestMinterFeeNoDisallow                                                                  |              4 | 0.00s  |
| test/Minter_fees.t.sol:TestMinterFees                                                                           |           5830 | 5.83s  |
| test/Minter_fees.t.sol:TestMinterLargeMintAndRedeem                                                             |          20520 | 20.52s |
| test/Minter_fees.t.sol:TestMinterNoneMinted                                                                     |              2 | 0.00s  |
| test/Minter_freeOwnerAuth.t.sol:TestMinterFreeOwnerAuth                                                         |             17 | 0.02s  |
| test/Minter_harvest.t.sol:TestMinterHarvest                                                                     |          15440 | 15.44s |
| test/Minter_liquidate.t.sol:TestMinterLiquidate                                                                 |             37 | 0.04s  |
| test/Minter_mint.t.sol:TestMinterMintMechanics                                                                  |             25 | 0.03s  |
| test/Minter_mint.t.sol:TestMinterMintZeroOutput                                                                 |              4 | 0.00s  |
| test/Minter_mint.t.sol:TestMinterMintZeroOutputDisallowed                                                       |              2 | 0.00s  |
| test/Minter_mint.t.sol:TestMinterOverflow                                                                       |              4 | 0.00s  |
| test/Minter_mintLeveraged.t.sol:TestMinterMintLeveraged                                                         |             88 | 0.09s  |
| test/Minter_mintPegged.t.sol:TestMinterMintPegged                                                               |             82 | 0.08s  |
| test/Minter_oracleZero.t.sol:MinterOracleZeroTest                                                               |            146 | 0.15s  |
| test/Minter_redeemLeveraged.t.sol:TestMinterRedeemLeveraged                                                     |             50 | 0.05s  |
| test/Minter_redeemPegged.t.sol:TestMinterRedeemPegged                                                           |             81 | 0.08s  |
| test/Minter_slash.t.sol:MinterSlashTest                                                                         |              8 | 0.01s  |
| test/Rebalance.t.sol:TestLiquidate                                                                              |             14 | 0.01s  |
| test/ReservePool.t.sol:TestReservePool                                                                          |             15 | 0.01s  |
| test/ReservePool.t.sol:TestReservePoolInitEvents                                                                |              9 | 0.01s  |
| test/SetWstETHBalance.t.sol:SetWstETHBalanceTest                                                                |            341 | 0.34s  |
| test/StabilityPool.t.sol:StabilityPoolCompoundingTest                                                           |              2 | 0.00s  |
| test/StabilityPool.t.sol:TestStabilityPoolDepositWithdraw                                                       |             12 | 0.01s  |
| test/StabilityPool.t.sol:TestStabilityPoolInit                                                                  |              3 | 0.00s  |
| test/StabilityPool.t.sol:TestStabilityPoolInitEvents                                                            |             14 | 0.01s  |
| test/StabilityPoolClaimable.t.sol:TestStabilityPoolClaimable                                                    |            120 | 0.12s  |
| test/StabilityPoolEnvelope.t.sol:StabilityPoolEnvelope_ETH_fxUSD                                                |           2250 | 2.25s  |
| test/StabilityPoolEnvelope.t.sol:StabilityPoolEnvelope_ETH_fxUSD_feeMax                                         |           2480 | 2.48s  |
| test/StabilityPoolEnvelope.t.sol:StabilityPoolEnvelope_ETH_fxUSD_minDepositHuge                                 |           2660 | 2.66s  |
| test/StabilityPoolEnvelope.t.sol:StabilityPoolEnvelope_ETH_fxUSD_prodFees                                       |           2230 | 2.23s  |
| test/StabilityPoolEnvelope.t.sol:StabilityPoolEnvelope_ETH_fxUSD_rebalance105                                   |            600 | 0.60s  |
| test/StabilityPoolEnvelope.t.sol:StabilityPoolEnvelope_ETH_fxUSD_testBounty                                     |           2800 | 2.80s  |
| test/StabilityPoolEnvelope.t.sol:StabilityPoolEnvelope_ETH_fxUSD_testCut                                        |           2730 | 2.73s  |
| test/StabilityPoolEnvelope.t.sol:StabilityPoolEnvelope_btcScale                                                 |           2800 | 2.80s  |
| test/StabilityPoolEnvelope.t.sol:StabilityPoolEnvelope_ethScale                                                 |           2780 | 2.78s  |
| test/StabilityPoolEnvelope.t.sol:StabilityPoolEnvelope_eurScale                                                 |           2950 | 2.95s  |
| test/StabilityPoolEnvelope.t.sol:StabilityPoolEnvelope_hyperCollateral                                          |           1560 | 1.56s  |
| test/StabilityPoolEnvelope.t.sol:StabilityPoolEnvelope_hyperScale                                               |           2910 | 2.91s  |
| test/StabilityPoolEnvelope.t.sol:StabilityPoolEnvelope_richScale                                                |           2680 | 2.68s  |
| test/StabilityPoolExtras.t.sol:TestStabilityPoolExtra1                                                          |             25 | 0.03s  |
| test/StabilityPoolExtras2.t.sol:TestStabilityPoolExtra2                                                         |              3 | 0.00s  |
| test/StabilityPoolFeatures.t.sol:StabilityPoolFeatures                                                          |             46 | 0.05s  |
| test/StabilityPoolLedgerGap.t.sol:StabilityPoolLedgerGapTest                                                    |           4590 | 4.59s  |
| test/StabilityPoolLoss.t.sol:TestStabilityPoolLoss                                                              |           1630 | 1.63s  |
| test/StabilityPoolLoss.t.sol:TestStabilityPoolRewardsAndLoss                                                    |             20 | 0.02s  |
| test/StabilityPoolManager.t.sol:Gist_1                                                                          |             10 | 0.01s  |
| test/StabilityPoolManager.t.sol:Gist_2                                                                          |              3 | 0.00s  |
| test/StabilityPoolManager.t.sol:TestStabilityPoolManagerBasic                                                   |             10 | 0.01s  |
| test/StabilityPoolManager.t.sol:TestStabilityPoolManagerCutAndFeeReceiver                                       |            388 | 0.39s  |
| test/StabilityPoolManager.t.sol:TestStabilityPoolManagerHarvest                                                 |             36 | 0.04s  |
| test/StabilityPoolManager.t.sol:TestStabilityPoolManagerInit                                                    |              4 | 0.00s  |
| test/StabilityPoolManager.t.sol:TestStabilityPoolManagerRebalance                                               |            379 | 0.38s  |
| test/StabilityPoolManager.t.sol:TestStabilityPoolManagerUpgradeable                                             |              1 | 0.00s  |
| test/StabilityPoolManager.t.sol:TestStabilityPoolManagerYieldVaults                                             |             31 | 0.03s  |
| test/StabilityPoolRebalance.t.sol:TestStabilityPoolRebalance                                                    |            286 | 0.29s  |
| test/StabilityPoolSpec.t.sol:TestStabilityPoolSpec                                                              |             14 | 0.01s  |
| test/StabilityPoolStorageLayout.t.sol:StabilityPoolStorageLayoutTest                                            |              0 | 0.00s  |
| test/StabilityPoolUpgradeMigration.t.sol:TestStabilityPoolUpgradeMigration                                      |             84 | 0.08s  |
| test/StabilityPoolWideStorage.t.sol:StabilityPoolV3StorageTest                                                  |              0 | 0.00s  |
| test/StabilityPool_v3_ERC20.t.sol:TestStabilityPool_v3_ERC20                                                    |          10490 | 10.49s |
| test/TestActualOverflowScenario.t.sol:TestActualOverflowScenario                                                |              0 | 0.00s  |
| test/TestDepositAfterFinishAtZero.t.sol:TestDepositAfterFinishAtZeroTest                                        |              1 | 0.00s  |
| test/TestLinearRewardFix.t.sol:TestLinearRewardFix                                                              |              0 | 0.00s  |
| test/TestStorageCompatibility.t.sol:TestStorageCompatibility                                                    |              0 | 0.00s  |
| test/TestStorageTypeChange.t.sol:TestStorageTypeChange                                                          |              1 | 0.00s  |
| test/TestUint192Overflow.t.sol:TestUint192Overflow                                                              |              0 | 0.00s  |
| test/TestUint192ToUint256Impact.t.sol:TestUint192ToUint256Impact                                                |              0 | 0.00s  |
| test/TokenDistributor.t.sol:TestTokenDistributor                                                                |             13 | 0.01s  |
| test/TokenDistributor.t.sol:TestTokenDistributorInitEvents                                                      |              6 | 0.01s  |
| test/Useful.t.sol:TestUsefulSimples                                                                             |              2 | 0.00s  |
| test/depeg.t.sol:DepeggedTest                                                                                   |              1 | 0.00s  |
| test/depeg.t.sol:NotDepeggedTest                                                                                |              1 | 0.00s  |
| test/deployment/AddressResolvers.t.sol:AddressResolversTest                                                     |              2 | 0.00s  |
| test/deployment/ConfigTest.t.sol:ConfigTest                                                                     |              1 | 0.00s  |
| test/deployment/DeployReporting.t.sol:DeployReportingDefaultTest                                                |            456 | 0.46s  |
| test/deployment/DeployReporting.t.sol:DeployReportingForcedOnTest                                               |            489 | 0.49s  |
| test/deployment/DeployRunSequence.t.sol:CrossDependencyPhaseTest                                                |              7 | 0.01s  |
| test/deployment/DeployRunSequence.t.sol:FullDeployRunTest                                                       |              2 | 0.00s  |
| test/deployment/DeployRunSequence.t.sol:ShorterDeployRunTest                                                    |              5 | 0.01s  |
| test/deployment/DeployedConfiguration.t.sol:DeployedConfigurationTest                                           |              2 | 0.00s  |
| test/deployment/HarborDeployRun.t.sol:ComposedHarborDeployRunTest                                               |            860 | 0.86s  |
| test/deployment/HarborDeployRun.t.sol:HarborDeployRunTest                                                       |             11 | 0.01s  |
| test/deployment/MinterCappedMint.t.sol:MinterCappedMintTest                                                     |            427 | 0.43s  |
| test/deployment/MinterFeeBandBoundaries.t.sol:MinterFeeBandBoundariesTest                                       |             86 | 0.09s  |
| test/deployment/MinterFreeMintCapped.t.sol:MinterFreeMintCappedTest                                             |             35 | 0.04s  |
| test/deployment/PartialDeploy.t.sol:MinterAndStabilityPoolsDeployTest                                           |             31 | 0.03s  |
| test/deployment/PartialDeploy.t.sol:MinterOnlyDeployTest                                                        |              1 | 0.00s  |
| test/deployment/RebalanceFairness.t.sol:RebalanceFairnessScenarios                                              |             89 | 0.09s  |
| test/deployment/RebalanceFairnessScan.t.sol:RebalanceFairnessScan                                               |          10860 | 10.86s |
| test/deployment/RewardSystem.t.sol:AccumulatorTest                                                              |              5 | 0.01s  |
| test/deployment/RewardSystem.t.sol:DistributorTest                                                              |              1 | 0.00s  |
| test/invariant/StabilityPoolInvariant.t.sol:StabilityPoolInvariantTest                                          |          51630 | 51.63s |
| test/math/DecrementalFloatingPoint.t.sol:DecrementalFloatingPointDirectTest                                     |              0 | 0.00s  |
| test/math/DecrementalFloatingPoint.t.sol:DecrementalFloatingPointMulTest                                        |              4 | 0.00s  |
| test/math/DecrementalFloatingPoint.t.sol:DecrementalFloatingPointTest                                           |             12 | 0.01s  |
| test/math/DecrementalFloatingPoint_v2.t.sol:DecrementalFloatingPointV2EquivalenceTest                           |             16 | 0.02s  |
| test/reward/accumulator/AccumulatorClaimableEquivalence.t.sol:AccumulatorClaimableEquivalenceTest               |            172 | 0.17s  |
| test/reward/accumulator/MultipleRewardCompoundingAccumulator.t.sol:MultipleRewardCompoundingAccumulatorTest     |            129 | 0.13s  |
| test/reward/distributor/LinearMultipleRewardDistributor.t.sol:LinearMultipleRewardDistributorTest               |             33 | 0.03s  |
