current CR,before SPCollateral collateral,after SPCollateral collateral,before SPLeveraged leveraged,after SPLeveraged leveraged,before minter collateral,after minter collateral
0.722000000000000000,0.000000000000000000,2.581509602501116560,0.000000000000000000,154890.576150066994281860,20.000000000000000000,17.418490397498883440
0.724000000000000000,0.000000000000000000,2.573726541554959780,0.000000000000000000,154423.592493297587180320,20.000000000000000000,17.426273458445040220
0.726000000000000000,0.000000000000000000,2.565936522127849780,0.000000000000000000,153956.191327670988096620,20.000000000000000000,17.434063477872150220
0.728000000000000000,0.000000000000000000,2.558139534883720920,0.000000000000000000,153488.372093023255904000,20.000000000000000000,17.441860465116279080
0.730000000000000000,0.000000000000000000,2.550335570469798640,0.000000000000000000,153020.134228187919618480,20.000000000000000000,17.449664429530201360
0.732000000000000000,0.000000000000000000,2.542524619516562220,0.000000000000000000,152551.477170993733216020,20.000000000000000000,17.457475380483437780
0.734000000000000000,0.000000000000000000,2.534706672637707120,0.000000000000000000,152082.400358262427232020,20.000000000000000000,17.465293327362292880
0.736000000000000000,0.000000000000000000,2.526881720430107520,0.000000000000000000,151612.903225806451672620,20.000000000000000000,17.473118279569892480
0.738000000000000000,0.000000000000000000,2.519049753473778560,0.000000000000000000,151142.985208426714604340,20.000000000000000000,17.480950246526221440
0.740000000000000000,0.000000000000000000,2.511210762331838560,0.000000000000000000,150672.645739910313944640,20.000000000000000000,17.488789237668161440
0.742000000000000000,0.000000000000000000,2.503364737550471060,0.000000000000000000,150201.884253028263823400,20.000000000000000000,17.496635262449528940
0.744000000000000000,0.000000000000000000,2.495511669658886880,0.000000000000000000,149730.700179533213764940,20.000000000000000000,17.504488330341113120
0.746000000000000000,0.000000000000000000,2.487651549169286020,0.000000000000000000,149259.092950157162229560,20.000000000000000000,17.512348450830713980
0.748000000000000000,0.000000000000000000,2.479784366576819400,0.000000000000000000,148787.061994609164480020,20.000000000000000000,17.520215633423180600
0.750000000000000000,0.000000000000000000,2.471910112359550560,0.000000000000000000,148314.606741573033723100,20.000000000000000000,17.528089887640449440
0.752000000000000000,0.000000000000000000,2.464028776978417260,0.000000000000000000,147841.726618705036023400,20.000000000000000000,17.535971223021582740
0.754000000000000000,0.000000000000000000,2.456140350877192980,0.000000000000000000,147368.421052631578968000,20.000000000000000000,17.543859649122807020
0.756000000000000000,0.000000000000000000,2.448244824482448240,0.000000000000000000,146894.689468946894729860,20.000000000000000000,17.551755175517551760
0.758000000000000000,0.000000000000000000,2.440342188203511920,0.000000000000000000,146420.531292210715990180,20.000000000000000000,17.559657811796488080
0.760000000000000000,0.000000000000000000,2.432432432432432420,0.000000000000000000,145945.945945945946049240,20.000000000000000000,17.567567567567567580
0.762000000000000000,0.000000000000000000,2.424515547543938700,0.000000000000000000,145470.932852636322760020,20.000000000000000000,17.575484452456061300
0.764000000000000000,0.000000000000000000,2.416591523895401260,0.000000000000000000,144995.491433724075763720,20.000000000000000000,17.583408476104598740
0.766000000000000000,0.000000000000000000,2.408660351826792960,0.000000000000000000,144519.621109607577836320,20.000000000000000000,17.591339648173207040
0.768000000000000000,0.000000000000000000,2.400722021660649800,0.000000000000000000,144043.321299638989329240,20.000000000000000000,17.599277978339350200
0.770000000000000000,0.000000000000000000,2.392776523702031600,0.000000000000000000,143566.591422121896184620,20.000000000000000000,17.607223476297968400
0.772000000000000000,0.000000000000000000,2.384823848238482380,0.000000000000000000,143089.430894308943128640,20.000000000000000000,17.615176151761517620
0.774000000000000000,0.000000000000000000,2.376863985539990960,0.000000000000000000,142611.839132399457769860,20.000000000000000000,17.623136014460009040
0.776000000000000000,0.000000000000000000,2.368896925858951160,0.000000000000000000,142133.815551537070648640,20.000000000000000000,17.631103074141048840
0.778000000000000000,0.000000000000000000,2.360922659430122100,0.000000000000000000,141655.359565807327135400,20.000000000000000000,17.639077340569877900
0.780000000000000000,0.000000000000000000,2.352941176470588220,0.000000000000000000,141176.470588235294240000,20.000000000000000000,17.647058823529411780
0.782000000000000000,0.000000000000000000,2.344952467179719320,0.000000000000000000,140697.148030783159880640,20.000000000000000000,17.655047532820280680
0.784000000000000000,0.000000000000000000,2.336956521739130420,0.000000000000000000,140217.391304347826204320,20.000000000000000000,17.663043478260869580
0.786000000000000000,0.000000000000000000,2.328953330312641580,0.000000000000000000,139737.199818758495813560,20.000000000000000000,17.671046669687358420
0.788000000000000000,0.000000000000000000,2.320942883046237520,0.000000000000000000,139256.572982774252150160,20.000000000000000000,17.679057116953762480
0.790000000000000000,0.000000000000000000,2.312925170068027200,0.000000000000000000,138775.510204081632738480,20.000000000000000000,17.687074829931972800
0.792000000000000000,0.000000000000000000,2.304900181488203260,0.000000000000000000,138294.010889292196060320,20.000000000000000000,17.695099818511796740
0.794000000000000000,0.000000000000000000,2.296867907399001360,0.000000000000000000,137812.074443940081720640,20.000000000000000000,17.703132092600998640
0.796000000000000000,0.000000000000000000,2.288828337874659400,0.000000000000000000,137329.700272479564036940,20.000000000000000000,17.711171662125340600
0.798000000000000000,0.000000000000000000,2.280781462971376640,0.000000000000000000,136846.887778282598872640,20.000000000000000000,17.719218537028623360
0.800000000000000000,0.000000000000000000,2.272727272727272720,0.000000000000000000,136363.636363636363692320,20.000000000000000000,17.727272727272727280
0.802000000000000000,0.000000000000000000,2.264665757162346520,0.000000000000000000,135879.945429740791277560,20.000000000000000000,17.735334242837653480
0.804000000000000000,0.000000000000000000,2.256596906278434940,0.000000000000000000,135395.814376706096457860,20.000000000000000000,17.743403093721565060
0.806000000000000000,0.000000000000000000,2.248520710059171580,0.000000000000000000,134911.242603550295992000,20.000000000000000000,17.751479289940828420
0.808000000000000000,0.000000000000000000,2.240437158469945340,0.000000000000000000,134426.229508196721426480,20.000000000000000000,17.759562841530054660
0.810000000000000000,0.000000000000000000,2.232346241457858760,0.000000000000000000,133940.774487471526270780,20.000000000000000000,17.767653758542141240
0.812000000000000000,0.000000000000000000,2.224247948951686400,0.000000000000000000,133454.876937101185181560,20.000000000000000000,17.775752051048313600
0.814000000000000000,0.000000000000000000,2.216142270861833100,0.000000000000000000,132968.536251709986360020,20.000000000000000000,17.783857729138166900
0.816000000000000000,0.000000000000000000,2.208029197080291960,0.000000000000000000,132481.751824817518328640,20.000000000000000000,17.791970802919708040
