current CR,pegged for collateral for 1.01,pegged for leveraged for 1.01,pegged for collateral for 1.25,pegged for leveraged for 1.25,pegged for collateral for 1.5,pegged for leveraged for 1.5
0.002000000000000000,20000.000000000000000000,19960.396039603960396040,20000.000000000000000000,19968.000000000000000000,20000.000000000000000000,19973.333333333333333334
0.004000000000000000,20000.000000000000000000,19920.792079207920792080,20000.000000000000000000,19936.000000000000000000,20000.000000000000000000,19946.666666666666666667
0.006000000000000000,20000.000000000000000000,19881.188118811881188119,20000.000000000000000000,19904.000000000000000000,20000.000000000000000000,19920.000000000000000000
0.008000000000000000,20000.000000000000000000,19841.584158415841584159,20000.000000000000000000,19872.000000000000000000,20000.000000000000000000,19893.333333333333333334
0.010000000000000000,20000.000000000000000000,19801.980198019801980199,20000.000000000000000000,19840.000000000000000000,20000.000000000000000000,19866.666666666666666667
0.012000000000000000,20000.000000000000000000,19762.376237623762376238,20000.000000000000000000,19808.000000000000000000,20000.000000000000000000,19840.000000000000000000
0.014000000000000000,20000.000000000000000000,19722.772277227722772278,20000.000000000000000000,19776.000000000000000000,20000.000000000000000000,19813.333333333333333334
0.016000000000000000,20000.000000000000000000,19683.168316831683168317,20000.000000000000000000,19744.000000000000000000,20000.000000000000000000,19786.666666666666666667
0.018000000000000000,20000.000000000000000000,19643.564356435643564357,20000.000000000000000000,19712.000000000000000000,20000.000000000000000000,19760.000000000000000000
0.020000000000000000,20000.000000000000000000,19603.960396039603960397,20000.000000000000000000,19680.000000000000000000,20000.000000000000000000,19733.333333333333333334
0.022000000000000000,20000.000000000000000000,19564.356435643564356436,20000.000000000000000000,19648.000000000000000000,20000.000000000000000000,19706.666666666666666667
0.024000000000000000,20000.000000000000000000,19524.752475247524752476,20000.000000000000000000,19616.000000000000000000,20000.000000000000000000,19680.000000000000000000
0.026000000000000000,20000.000000000000000000,19485.148514851485148515,20000.000000000000000000,19584.000000000000000000,20000.000000000000000000,19653.333333333333333334
0.028000000000000000,20000.000000000000000000,19445.544554455445544555,20000.000000000000000000,19552.000000000000000000,20000.000000000000000000,19626.666666666666666667
0.030000000000000000,20000.000000000000000000,19405.940594059405940595,20000.000000000000000000,19520.000000000000000000,20000.000000000000000000,19600.000000000000000000
0.032000000000000000,20000.000000000000000000,19366.336633663366336634,20000.000000000000000000,19488.000000000000000000,20000.000000000000000000,19573.333333333333333334
0.034000000000000000,20000.000000000000000000,19326.732673267326732674,20000.000000000000000000,19456.000000000000000000,20000.000000000000000000,19546.666666666666666667
0.036000000000000000,20000.000000000000000000,19287.128712871287128713,20000.000000000000000000,19424.000000000000000000,20000.000000000000000000,19520.000000000000000000
0.038000000000000000,20000.000000000000000000,19247.524752475247524753,20000.000000000000000000,19392.000000000000000000,20000.000000000000000000,19493.333333333333333334
0.040000000000000000,20000.000000000000000000,19207.920792079207920793,20000.000000000000000000,19360.000000000000000000,20000.000000000000000000,19466.666666666666666667
0.042000000000000000,20000.000000000000000000,19168.316831683168316832,20000.000000000000000000,19328.000000000000000000,20000.000000000000000000,19440.000000000000000000
0.044000000000000000,20000.000000000000000000,19128.712871287128712872,20000.000000000000000000,19296.000000000000000000,20000.000000000000000000,19413.333333333333333334
0.046000000000000000,20000.000000000000000000,19089.108910891089108911,20000.000000000000000000,19264.000000000000000000,20000.000000000000000000,19386.666666666666666667
0.048000000000000000,20000.000000000000000000,19049.504950495049504951,20000.000000000000000000,19232.000000000000000000,20000.000000000000000000,19360.000000000000000000
0.050000000000000000,20000.000000000000000000,19009.900990099009900991,20000.000000000000000000,19200.000000000000000000,20000.000000000000000000,19333.333333333333333334
0.052000000000000000,20000.000000000000000000,18970.297029702970297030,20000.000000000000000000,19168.000000000000000000,20000.000000000000000000,19306.666666666666666667
0.054000000000000000,20000.000000000000000000,18930.693069306930693070,20000.000000000000000000,19136.000000000000000000,20000.000000000000000000,19280.000000000000000000
0.056000000000000000,20000.000000000000000000,18891.089108910891089109,20000.000000000000000000,19104.000000000000000000,20000.000000000000000000,19253.333333333333333334
0.058000000000000000,20000.000000000000000000,18851.485148514851485149,20000.000000000000000000,19072.000000000000000000,20000.000000000000000000,19226.666666666666666667
0.060000000000000000,20000.000000000000000000,18811.881188118811881189,20000.000000000000000000,19040.000000000000000000,20000.000000000000000000,19200.000000000000000000
0.062000000000000000,20000.000000000000000000,18772.277227722772277228,20000.000000000000000000,19008.000000000000000000,20000.000000000000000000,19173.333333333333333334
0.064000000000000000,20000.000000000000000000,18732.673267326732673268,20000.000000000000000000,18976.000000000000000000,20000.000000000000000000,19146.666666666666666667
0.066000000000000000,20000.000000000000000000,18693.069306930693069307,20000.000000000000000000,18944.000000000000000000,20000.000000000000000000,19120.000000000000000000
0.068000000000000000,20000.000000000000000000,18653.465346534653465347,20000.000000000000000000,18912.000000000000000000,20000.000000000000000000,19093.333333333333333334
0.070000000000000000,20000.000000000000000000,18613.861386138613861387,20000.000000000000000000,18880.000000000000000000,20000.000000000000000000,19066.666666666666666667
0.072000000000000000,20000.000000000000000000,18574.257425742574257426,20000.000000000000000000,18848.000000000000000000,20000.000000000000000000,19040.000000000000000000
