current CR,before CR,after CR,before minter pegged,after minter pegged,before SPCollateral pegged,after SPCollateral pegged,before SPLeveraged pegged,after SPLeveraged pegged,before leveraged price,after leveraged price
0.002000000000000000,0.002000000000000000,1.300000000000000000,20000.000000000000000000,15.396458814472671291,10000.000000000000000000,7.698229407236340000,10000.000000000000000000,7.698229407236331291,0.000000000000000000,0.000021009874641081
0.004000000000000000,0.004000000000000000,1.300000000000000000,20000.000000000000000000,30.816640986132511568,10000.000000000000000000,15.408320493066260000,10000.000000000000000000,15.408320493066251568,0.000000000000000000,0.000042081638378454
0.006000000000000000,0.006000000000000000,1.300000000000000000,20000.000000000000000000,46.260601387818041722,10000.000000000000000000,23.130300693909040000,10000.000000000000000000,23.130300693909001722,0.000000000000000000,0.000063215565076912
0.008000000000000000,0.008000000000000000,1.300000000000000000,20000.000000000000000000,61.728395061728395076,10000.000000000000000000,30.864197530864200000,10000.000000000000000000,30.864197530864195076,0.000000000000000000,0.000084411930219471
0.010000000000000000,0.010000000000000000,1.300000000000000000,20000.000000000000000000,77.220077220077220153,10000.000000000000000000,38.610038610038620000,10000.000000000000000000,38.610038610038600153,0.000000000000000000,0.000105671010919337
0.012000000000000000,0.012000000000000000,1.300000000000000000,20000.000000000000000000,92.735703245749613722,10000.000000000000000000,46.367851622874820000,10000.000000000000000000,46.367851622874793722,0.000000000000000000,0.000126993085931988
0.014000000000000000,0.014000000000000000,1.300000000000000000,20000.000000000000000000,108.275328692962103722,10000.000000000000000000,54.137664346481060000,10000.000000000000000000,54.137664346481043722,0.000000000000000000,0.000148378435667349
0.016000000000000000,0.016000000000000000,1.300000000000000000,20000.000000000000000000,123.839009287925696738,10000.000000000000000000,61.919504643962860000,10000.000000000000000000,61.919504643962836738,0.000000000000000000,0.000169827342202094
0.018000000000000000,0.018000000000000000,1.300000000000000000,20000.000000000000000000,139.426800929512006430,10000.000000000000000000,69.713400464756020000,10000.000000000000000000,69.713400464755986430,0.000000000000000000,0.000191340089292041
0.020000000000000000,0.020000000000000000,1.300000000000000000,20000.000000000000000000,155.038759689922480922,10000.000000000000000000,77.519379844961260000,10000.000000000000000000,77.519379844961220922,0.000000000000000000,0.000212916962384669
0.022000000000000000,0.022000000000000000,1.300000000000000000,20000.000000000000000000,170.674941815360744892,10000.000000000000000000,85.337470907680380000,10000.000000000000000000,85.337470907680364892,0.000000000000000000,0.000234558248631743
0.024000000000000000,0.024000000000000000,1.300000000000000000,20000.000000000000000000,186.335403726708074584,10000.000000000000000000,93.167701863354040000,10000.000000000000000000,93.167701863354034584,0.000000000000000000,0.000256264236902050
0.026000000000000000,0.026000000000000000,1.300000000000000000,20000.000000000000000000,202.020202020202020400,10000.000000000000000000,101.010101010101020000,10000.000000000000000000,101.010101010101000400,0.000000000000000000,0.000278035217794253
0.028000000000000000,0.028000000000000000,1.300000000000000000,20000.000000000000000000,217.729393468118195999,10000.000000000000000000,108.864696734059100000,10000.000000000000000000,108.864696734059095999,0.000000000000000000,0.000299871483649864
0.030000000000000000,0.030000000000000000,1.300000000000000000,20000.000000000000000000,233.463035019455253230,10000.000000000000000000,116.731517509727640000,10000.000000000000000000,116.731517509727613230,0.000000000000000000,0.000321773328566321
0.032000000000000000,0.032000000000000000,1.300000000000000000,20000.000000000000000000,249.221183800623053292,10000.000000000000000000,124.610591900311540000,10000.000000000000000000,124.610591900311513292,0.000000000000000000,0.000343741048410197
0.034000000000000000,0.034000000000000000,1.300000000000000000,20000.000000000000000000,265.003897116134061046,10000.000000000000000000,132.501948558067040000,10000.000000000000000000,132.501948558067021046,0.000000000000000000,0.000365774940830524
0.036000000000000000,0.036000000000000000,1.300000000000000000,20000.000000000000000000,280.811232449297972307,10000.000000000000000000,140.405616224649000000,10000.000000000000000000,140.405616224648972307,0.000000000000000000,0.000387875305272231
0.038000000000000000,0.038000000000000000,1.300000000000000000,20000.000000000000000000,296.643247462919594153,10000.000000000000000000,148.321623731459800000,10000.000000000000000000,148.321623731459794153,0.000000000000000000,0.000410042442989712
0.040000000000000000,0.040000000000000000,1.300000000000000000,20000.000000000000000000,312.499999999999999999,10000.000000000000000000,156.250000000000000000,10000.000000000000000000,156.249999999999999999,0.000000000000000000,0.000432276657060518
0.042000000000000000,0.042000000000000000,1.300000000000000000,20000.000000000000000000,328.381548084440969999,10000.000000000000000000,164.190774042220500000,10000.000000000000000000,164.190774042220469999,0.000000000000000000,0.000454578252399162
0.044000000000000000,0.044000000000000000,1.300000000000000000,20000.000000000000000000,344.287949921752739014,10000.000000000000000000,172.143974960876380000,10000.000000000000000000,172.143974960876359014,0.000000000000000000,0.000476947535771065
0.046000000000000000,0.046000000000000000,1.300000000000000000,20000.000000000000000000,360.219263899765074491,10000.000000000000000000,180.109631949882540000,10000.000000000000000000,180.109631949882534491,0.000000000000000000,0.000499384815806615
0.048000000000000000,0.048000000000000000,1.300000000000000000,20000.000000000000000000,376.175548589341693292,10000.000000000000000000,188.087774294670860000,10000.000000000000000000,188.087774294670833292,0.000000000000000000,0.000521890403015366
0.050000000000000000,0.050000000000000000,1.300000000000000000,20000.000000000000000000,392.156862745098039230,10000.000000000000000000,196.078431372549020000,10000.000000000000000000,196.078431372549019230,0.000000000000000000,0.000544464609800362
0.052000000000000000,0.052000000000000000,1.300000000000000000,20000.000000000000000000,408.163265306122449600,10000.000000000000000000,204.081632653061240000,10000.000000000000000000,204.081632653061209600,0.000000000000000000,0.000567107750472589
