current CR,before CR,after CR,before minter pegged,after minter pegged,before SPCollateral pegged,after SPCollateral pegged,before SPLeveraged pegged,after SPLeveraged pegged
0.002000000000000000,0.002000000000000000,0.003000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.004000000000000000,0.004000000000000000,0.006000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.006000000000000000,0.006000000000000000,0.009000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.008000000000000000,0.008000000000000000,0.012000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.010000000000000000,0.010000000000000000,0.015000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.012000000000000000,0.012000000000000000,0.018000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.014000000000000000,0.014000000000000000,0.021000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.016000000000000000,0.016000000000000000,0.024000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.018000000000000000,0.018000000000000000,0.027000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.020000000000000000,0.020000000000000000,0.030000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.022000000000000000,0.022000000000000000,0.033000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.024000000000000000,0.024000000000000000,0.036000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.026000000000000000,0.026000000000000000,0.039000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.028000000000000000,0.028000000000000000,0.042000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.030000000000000000,0.030000000000000000,0.045000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.032000000000000000,0.032000000000000000,0.048000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.034000000000000000,0.034000000000000000,0.051000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.036000000000000000,0.036000000000000000,0.054000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.038000000000000000,0.038000000000000000,0.057000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.040000000000000000,0.040000000000000000,0.060000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.042000000000000000,0.042000000000000000,0.063000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.044000000000000000,0.044000000000000000,0.066000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.046000000000000000,0.046000000000000000,0.069000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.048000000000000000,0.048000000000000000,0.072000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.050000000000000000,0.050000000000000000,0.075000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.052000000000000000,0.052000000000000000,0.078000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.054000000000000000,0.054000000000000000,0.081000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.056000000000000000,0.056000000000000000,0.084000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.058000000000000000,0.058000000000000000,0.087000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
0.060000000000000000,0.060000000000000000,0.090000000000000000,20000.000000000000000000,10000.000000000000000000,5000.000000000000000000,0.000000000000000000,5000.000000000000000000,0.000000000000000000
