current CR,after user collateral,after SPCollateral collateral,after user leveraged,after SPLeveraged leveraged,,after minter collateral,after user SPCollateral balance,after user SPLeveraged balance
0.002000000000000000,9.992301770592763654,9.992301770592763660,199846.035411855239859815,199846.035411855273374180,0.000000000000000000,10.007698229407236340,7.698229407236340000,7.698229407236330000
0.004000000000000000,9.984591679506933737,9.984591679506933740,199691.833590138654647349,199691.833590138674968640,0.000000000000000000,10.015408320493066260,15.408320493066260000,15.408320493066250000
0.006000000000000000,9.976869699306090941,9.976869699306090960,199537.393986121805110431,199537.393986121819965560,0.000000000000000000,10.023130300693909040,23.130300693909040000,23.130300693909000000
0.008000000000000000,9.969135802469135797,9.969135802469135800,199382.716049382683307499,199382.716049382716098480,0.000000000000000000,10.030864197530864200,30.864197530864200000,30.864197530864190000
0.010000000000000000,9.961389961389961373,9.961389961389961380,199227.799227799227207451,199227.799227799227996940,0.000000000000000000,10.038610038610038620,38.610038610038620000,38.610038610038600000
0.012000000000000000,9.953632148377125167,9.953632148377125180,199072.642967542488145744,199072.642967542504125560,0.000000000000000000,10.046367851622874820,46.367851622874820000,46.367851622874790000
0.014000000000000000,9.945862335653518920,9.945862335653518940,198917.246713070365449840,198917.246713070379125560,0.000000000000000000,10.054137664346481060,54.137664346481060000,54.137664346481040000
0.016000000000000000,9.938080495356037110,9.938080495356037140,198761.609907120721636222,198761.609907120743265240,0.000000000000000000,10.061919504643962860,61.919504643962860000,61.919504643962830000
0.018000000000000000,9.930286599535243933,9.930286599535243980,198605.731990704861953038,198605.731990704880271400,0.000000000000000000,10.069713400464756020,69.713400464756020000,69.713400464755980000
0.020000000000000000,9.922480620155038721,9.922480620155038740,198449.612403100773221162,198449.612403100775581560,0.000000000000000000,10.077519379844961260,77.519379844961260000,77.519379844961220000
0.022000000000000000,9.914662529092319589,9.914662529092319620,198293.250581846381334913,198293.250581846392702160,0.000000000000000000,10.085337470907680380,85.337470907680380000,85.337470907680360000
0.024000000000000000,9.906832298136645942,9.906832298136645960,198136.645962732909559658,198136.645962732919308320,0.000000000000000000,10.093167701863354040,93.167701863354040000,93.167701863354030000
